repo_name	num_forks	num_contributors	total_contributions	num_stars	health_percentage	num_repo_activities	total_contributors	current_date
fhdsl/metricminer	NA	4	434	1	62	NA	NA	NA
fhdsl/metricminer-dashboard	NA	4	188	0	62	NA	NA	NA
jhudsl/OTTR_Template	12	18	954	15	75	NA	NA	NA
jhudsl/OTTR_Template_Website	1	7	247	0	37	NA	NA	NA
fhdsl/metricminer	NA	5	NA	2	100	590	489	NA
fhdsl/metricminer-dashboard	NA	5	NA	1	62	521	229	NA
jhudsl/OTTR_Template	14	19	NA	17	75	1564	1006	NA
jhudsl/OTTR_Template_Website	3	8	NA	2	50	414	302	NA
fhdsl/metricminer	NA	5	NA	2	100	595	489	NA
fhdsl/metricminer-dashboard	NA	5	NA	1	62	526	234	NA
jhudsl/OTTR_Template	14	19	NA	17	75	1569	1006	NA
fhdsl/metricminer	NA	5	NA	2	100	604	502	NA
fhdsl/metricminer-dashboard	NA	5	NA	1	62	527	235	NA
fhdsl/metricminer	NA	5	NA	2	100	605	503	NA
fhdsl/metricminer-dashboard	NA	5	NA	1	62	533	242	NA
jhudsl/OTTR_Template	14	19	NA	17	75	1574	1009	NA
jhudsl/OTTR_Template_Website	3	8	NA	2	50	417	303	NA
jhudsl/OTTR_Template	14	18	NA	18	75	1574	1008	2026-03-12
